Tracking of household 12
Nobody entered this location at time 0.
Nobody exited this location at time 0.
Your agent didn't infect anyone at time 0.
At time 60, agent 24 entered this location.
At time 60, agent 37 exited this location.
At time 60, agent 39 exited this location.
At time 60, agent 58 entered this location.
At time 60, agent 110 entered this location.
At time 60, agent 46 entered this location.
At time 60, agent 49 entered this location.
At time 60, agent 124 entered this location.
At time 60, agent 6 entered this location.
At time 60, agent 13 entered this location.
At time 60, agent 114 entered this location.
At time 60, agent 107 entered this location.
At time 60, agent 36 exited this location.
At time 60, agent 38 exited this location.
Your agent didn't infect anyone at time 60.
At time 120, agent 46 entered this location.
At time 120, agent 46 exited this location.
At time 120, agent 86 entered this location.
At time 120, agent 49 entered this location.
At time 120, agent 49 exited this location.
At time 120, agent 124 entered this location.
At time 120, agent 124 exited this location.
At time 120, agent 6 entered this location.
At time 120, agent 6 exited this location.
At time 120, agent 13 entered this location.
At time 120, agent 13 exited this location.
At time 120, agent 116 entered this location.
At time 120, agent 114 entered this location.
At time 120, agent 114 exited this location.
At time 120, agent 68 entered this location.
At time 120, agent 107 entered this location.
At time 120, agent 107 exited this location.
At time 120, agent 24 entered this location.
At time 120, agent 24 exited this location.
At time 120, agent 66 entered this location.
At time 120, agent 146 entered this location.
At time 120, agent 110 exited this location.
At time 120, agent 58 exited this location.
At time 120, agent 24 infected 13 with disease Omicronat your location.
At time 120, agent 13 infected 24 with disease Deltaat your location.
At time 180, agent 86 exited this location.
At time 180, agent 114 entered this location.
At time 180, agent 114 exited this location.
At time 180, agent 68 entered this location.
At time 180, agent 68 exited this location.
At time 180, agent 107 entered this location.
At time 180, agent 107 exited this location.
At time 180, agent 24 entered this location.
At time 180, agent 24 exited this location.
At time 180, agent 66 entered this location.
At time 180, agent 66 exited this location.
At time 180, agent 146 entered this location.
At time 180, agent 146 exited this location.
At time 180, agent 49 entered this location.
At time 180, agent 49 exited this location.
At time 180, agent 124 exited this location.
At time 180, agent 39 entered this location.
At time 180, agent 46 exited this location.
At time 180, agent 6 exited this location.
At time 180, agent 13 exited this location.
At time 180, agent 116 exited this location.
Your agent didn't infect anyone at time 180.
At time 240, agent 27 entered this location.
At time 240, agent 25 entered this location.
At time 240, agent 114 exited this location.
At time 240, agent 48 entered this location.
At time 240, agent 53 entered this location.
At time 240, agent 22 entered this location.
At time 240, agent 66 entered this location.
At time 240, agent 66 exited this location.
At time 240, agent 146 entered this location.
At time 240, agent 146 exited this location.
At time 240, agent 49 entered this location.
At time 240, agent 49 exited this location.
At time 240, agent 39 entered this location.
At time 240, agent 39 exited this location.
At time 240, agent 24 exited this location.
At time 240, agent 107 exited this location.
At time 240, agent 68 exited this location.
Your agent didn't infect anyone at time 240.
At time 300, agent 25 entered this location.
At time 300, agent 25 exited this location.
At time 300, agent 66 exited this location.
At time 300, agent 27 exited this location.
At time 300, agent 146 exited this location.
At time 300, agent 138 entered this location.
At time 300, agent 49 entered this location.
At time 300, agent 49 exited this location.
At time 300, agent 14 entered this location.
At time 300, agent 46 entered this location.
At time 300, agent 53 entered this location.
At time 300, agent 53 exited this location.
At time 300, agent 39 exited this location.
At time 300, agent 48 exited this location.
At time 300, agent 22 exited this location.
Your agent didn't infect anyone at time 300.
At time 360, agent 25 exited this location.
At time 360, agent 49 entered this location.
At time 360, agent 49 exited this location.
At time 360, agent 45 entered this location.
At time 360, agent 14 entered this location.
At time 360, agent 14 exited this location.
At time 360, agent 46 entered this location.
At time 360, agent 46 exited this location.
At time 360, agent 111 entered this location.
At time 360, agent 53 entered this location.
At time 360, agent 53 exited this location.
At time 360, agent 104 entered this location.
At time 360, agent 100 entered this location.
At time 360, agent 138 exited this location.
Your agent didn't infect anyone at time 360.
At time 420, agent 45 exited this location.
At time 420, agent 46 exited this location.
At time 420, agent 106 entered this location.
At time 420, agent 8 entered this location.
At time 420, agent 111 entered this location.
At time 420, agent 111 exited this location.
At time 420, agent 53 entered this location.
At time 420, agent 53 exited this location.
At time 420, agent 104 entered this location.
At time 420, agent 104 exited this location.
At time 420, agent 100 entered this location.
At time 420, agent 100 exited this location.
At time 420, agent 49 exited this location.
At time 420, agent 14 exited this location.
Your agent didn't infect anyone at time 420.
At time 480, agent 111 exited this location.
At time 480, agent 53 entered this location.
At time 480, agent 53 exited this location.
At time 480, agent 115 entered this location.
At time 480, agent 104 entered this location.
At time 480, agent 104 exited this location.
At time 480, agent 100 entered this location.
At time 480, agent 100 exited this location.
At time 480, agent 106 exited this location.
At time 480, agent 8 exited this location.
Your agent didn't infect anyone at time 480.
At time 540, agent 53 exited this location.
At time 540, agent 104 exited this location.
At time 540, agent 115 exited this location.
At time 540, agent 100 entered this location.
At time 540, agent 100 exited this location.
At time 540, agent 39 entered this location.
Your agent didn't infect anyone at time 540.
At time 600, agent 27 entered this location.
At time 600, agent 120 entered this location.
At time 600, agent 100 entered this location.
At time 600, agent 100 exited this location.
At time 600, agent 142 entered this location.
At time 600, agent 169 entered this location.
At time 600, agent 90 entered this location.
At time 600, agent 128 entered this location.
At time 600, agent 39 exited this location.
Your agent didn't infect anyone at time 600.
At time 660, agent 27 exited this location.
At time 660, agent 120 entered this location.
At time 660, agent 120 exited this location.
At time 660, agent 40 entered this location.
At time 660, agent 100 entered this location.
At time 660, agent 100 exited this location.
At time 660, agent 142 entered this location.
At time 660, agent 142 exited this location.
At time 660, agent 169 entered this location.
At time 660, agent 169 exited this location.
At time 660, agent 90 entered this location.
At time 660, agent 90 exited this location.
At time 660, agent 128 entered this location.
At time 660, agent 128 exited this location.
At time 660, agent 22 entered this location.
Your agent didn't infect anyone at time 660.
At time 720, agent 100 exited this location.
At time 720, agent 40 exited this location.
At time 720, agent 169 entered this location.
At time 720, agent 169 exited this location.
At time 720, agent 90 entered this location.
At time 720, agent 90 exited this location.
At time 720, agent 128 entered this location.
At time 720, agent 128 exited this location.
At time 720, agent 22 entered this location.
At time 720, agent 22 exited this location.
At time 720, agent 120 exited this location.
At time 720, agent 142 exited this location.
Your agent didn't infect anyone at time 720.
At time 780, agent 25 entered this location.
At time 780, agent 128 exited this location.
At time 780, agent 169 exited this location.
At time 780, agent 22 entered this location.
At time 780, agent 22 exited this location.
At time 780, agent 91 entered this location.
At time 780, agent 36 entered this location.
At time 780, agent 37 entered this location.
At time 780, agent 90 exited this location.
Your agent didn't infect anyone at time 780.
At time 840, agent 27 entered this location.
At time 840, agent 26 entered this location.
At time 840, agent 22 exited this location.
At time 840, agent 91 entered this location.
At time 840, agent 91 exited this location.
At time 840, agent 40 entered this location.
At time 840, agent 105 entered this location.
At time 840, agent 24 entered this location.
At time 840, agent 36 exited this location.
At time 840, agent 25 exited this location.
At time 840, agent 37 exited this location.
Your agent didn't infect anyone at time 840.
At time 900, agent 25 entered this location.
At time 900, agent 126 entered this location.
At time 900, agent 91 entered this location.
At time 900, agent 91 exited this location.
At time 900, agent 40 entered this location.
At time 900, agent 40 exited this location.
